,Weight,Topic,Tag
20,0.020653095096349716,T4,Manchester
24,0.023884059861302376,T17,Tyne
30,0.18474899232387543,T20,Glasgow West
35,0.060307394713163376,T0,Beds Bucks Herts
44,0.0497448705136776,T38,Edinburgh East Fife
46,0.016207512468099594,T16,Lancashire
51,0.01974630355834961,T10,Hampshire
53,0.11807514727115631,T0,London
55,0.026396876201033592,T6,Merseyside
57,0.015646908432245255,T8,Edinburgh East Fife
58,0.05521281436085701,T11,Cumbria
66,0.05802568793296814,T4,North East Wales
71,0.010034339502453804,T1,London
73,0.04118015989661217,T0,North East Wales
78,0.030799129977822304,T4,Devon
82,0.035078275948762894,T32,Shropshire
84,0.03640973940491676,T20,Leeds
87,0.17139790952205658,T16,Edinburgh East Fife
90,0.014852541498839855,T5,Humber
95,0.011468402110040188,T4,Cambridgeshire
96,0.0538596548140049,T16,Derbyshire
102,0.026648953557014465,T22,Edinburgh East Fife
103,0.012816024012863636,T10,Oxfordshire
104,0.03336584195494652,T0,Merseyside
106,0.09060516208410263,T8,Oxfordshire
112,0.05021354928612709,T36,South East Wales
120,0.10650841891765594,T11,Dorset
121,0.01437076274305582,T4,Mid Wales
122,0.153895303606987,T20,Beds Bucks Herts
123,0.011053892783820629,T2,Tayside Central
124,0.5452739596366882,T20,Glasgow West
125,0.05327571555972099,T9,North West Wales
132,0.06139448285102844,T2,Stoke Staffordshire
142,0.13275834918022156,T11,Gloucestershire
146,0.010770557448267937,T0,Edinburgh East Fife
153,0.037675611674785614,T0,Glasgow West
156,0.011746099218726158,T0,Edinburgh East Fife
157,0.01965806819498539,T0,Highlands Islands
158,0.01214709784835577,T5,Glasgow West
162,0.036269981414079666,T10,Shropshire
167,0.03589851036667824,T0,Merseyside
170,0.03233516961336136,T5,North East Orkney Shetland
172,0.038898203521966934,T25,Cumbria
174,0.03922270983457565,T0,Highlands Islands
180,0.03462385758757591,T22,Edinburgh East Fife
183,0.026946881785988808,T19,Tayside Central
189,0.12810930609703064,T35,Manchester
192,0.15297839045524597,T0,Tayside Central
194,0.02337922528386116,T23,Lancashire
202,0.033101700246334076,T17,Highlands Islands
210,0.019994204863905907,T2,Edinburgh East Fife
211,0.02218732424080372,T4,South West Wales
