,Term0,Term1,Term2,Term3,Term4,Term5,Term6,Term7,Term8,Term9
0,government,new,need,change,committee,policy,plan,system,minister,must
1,film,star,play,actor,theatre,role,screen,actress,director,war
2,house,home,buy,property,sell,sale,rent,price,beer,private
3,phone,technology,dubai,data,mobile,google,internet,device,access,smart
4,jam,circus,inquest,hear,coroner,surrey,soldier,pembrokeshire,stephen,pte
5,record,traffic,wheel,mcdonald,fastest,verify,fool,burton,infamous,serbia
6,university,students,student,college,poland,study,polish,universities,education,graduate
7,space,earth,map,system,dementia,human,team,explain,systems,eye
8,shoot,kill,suspect,two,men,murder,gang,detain,dead,one
9,wales,welsh,cardiff,england,government,uk,vale,south,gwynedd,ash
10,lose,taiwan,seat,gain,taiwanese,regional,dancers,angel,fortunes,one
11,council,local,county,councils,authority,councillor,authorities,service,residents,councillors
12,music,album,band,singer,sound,song,play,songs,record,track
13,french,france,paris,european,europe,hollande,psni,francois,attacker,angela
14,bbc,news,programme,radio,speak,correspondent,show,interview,channel,sink
15,bowie,cornwall,grind,devon,david,stadium,plymouth,policeman,heroes,fermanagh
16,company,firm,tech,products,market,brand,offer,new,business,downtown
17,city,centre,new,open,cities,street,streets,across,work,capital
18,name,register,apple,donors,pubs,exhaust,joseph,chip,autism,iphone
19,attack,november,paris,charlie,interior,charles,bay,belgian,belgium,terrorist
20,arrest,charge,man,murder,suspicion,appear,police,men,two,court
21,berlin,martin,coin,israeli,israel,graham,boycott,palestinian,palestinians,west
22,risk,alcohol,safety,concern,issue,number,report,warn,add,public
23,build,gmt,damage,residents,wall,collapse,area,home,house,destroy
24,london,corbyn,jeremy,johnson,defences,skype,renewal,walker,trident,eva
25,liverpool,hampshire,swansea,reserve,reservoir,anderson,cheshire,fence,merseyside,tidal
26,event,events,hill,festival,part,daniel,hold,raise,place,include
27,attack,kill,bomb,security,group,state,force,report,military,militants
28,joke,ross,lady,magic,behave,howard,harassment,aggressive,belt,funny
29,travel,airport,holiday,passengers,fare,tourists,brussels,trip,tourism,passenger
30,figure,uk,number,show,increase,average,rat,rate,rise,years
31,call,last,officials,statement,comment,week,agency,security,official,news
32,church,couple,mary,gay,marriage,marry,christian,fca,canterbury,yard
33,south,africa,african,mosque,congo,embassy,country,republic,sally,east
34,ban,order,fix,fin,lift,fine,plot,plastic,jonathan,impose
35,one,lot,something,things,good,us,feel,need,might,seem
36,fire,service,christmas,blaze,call,ambulance,emergency,burn,rescue,crew
37,find,study,research,university,prof,suggest,researchers,scientists,new,lead
38,years,one,ago,two,live,old,find,first,later,remain
39,trust,hospital,staff,patients,report,find,hospitals,patient,improve,nhs
40,minister,david,cameron,prime,letter,uk,down,pm,write,jane
41,refugees,migrants,turkey,border,asylum,turkish,europe,camp,refugee,countries
42,irish,pc,dublin,lincolnshire,easter,hannah,ghana,thieve,republic,rise
43,oil,price,gas,energy,production,company,industry,fall,barrel,losses
44,unveil,burial,moat,silver,statue,twin,metro,ward,sewage,catherine
45,jones,williams,wood,assembly,plaid,first,ukip,cymru,hamilton,wrexham
46,muslim,bangladesh,communities,islam,ahmed,ali,terrorism,terror,uganda,east
47,garden,animals,animal,gold,volunteer,licence,welfare,cat,guernsey,wild
48,bank,share,shop,close,store,market,index,point,interest,us
49,relief,tunnel,liquid,wilson,skin,lifestyle,newport,route,adjust,hughes
50,deal,meet,agree,agreement,decision,talk,end,plan,february,reach
51,rise,sales,last,increase,fell,fall,profit,december,quarter,months
52,investigation,report,claim,inquiry,evidence,allegations,investigate,case,review,public
53,chief,executive,close,board,announce,closure,last,decision,chairman,continue
54,village,alan,forest,norfolk,locations,field,trail,phillips,mud,farmer
55,fireworks,repair,light,engulf,sky,firework,temporary,andy,ahead,reassure
56,school,education,pupils,teachers,teach,primary,teacher,parent,head,secondary
57,women,men,female,woman,group,gender,pregnancy,abortion,dhaka,italian
58,china,chinese,market,economy,trade,economic,global,world,export,growth
59,lord,smith,peer,cycle,chamber,duncan,bike,house,ride,rid
60,royal,prince,visit,king,tim,tribunal,duke,william,british,tour
61,tree,box,peter,branch,guide,landslide,isolate,graphic,tolerate,instructions
62,object,derbyshire,lincoln,orange,boast,derby,boston,bread,surgeons,notify
63,stream,swift,swedish,adele,lothian,followers,taylor,kashmir,shine,perry
64,pakistan,ford,afghanistan,taliban,pakistani,afghan,muhammad,jennifer,collide,mohammad
65,syria,syrian,iraq,islamic,force,state,war,iraqi,arab,air
66,transplant,cruz,governor,cells,bush,cell,donor,rubio,senator,taylor
67,sheffield,stewart,leicester,fox,jackson,expense,suit,mcdonnell,angus,pints
68,north,nuclear,korea,south,test,korean,kim,missile,launch,east
69,daily,paper,report,mail,newspaper,sun,sunday,telegraph,guardian,headline
70,post,media,twitter,facebook,social,online,tweet,message,page,website
