Topic ID,Words
T0,"""government"" + ""new"" + ""need"" + ""change"" + ""committee"" + ""policy"" + ""plan"" + ""system"" + ""minister"" + ""must"""
T1,"""film"" + ""star"" + ""play"" + ""actor"" + ""theatre"" + ""role"" + ""screen"" + ""actress"" + ""director"" + ""war"""
T2,"""house"" + ""home"" + ""buy"" + ""property"" + ""sell"" + ""sale"" + ""rent"" + ""price"" + ""beer"" + ""private"""
T3,"""phone"" + ""technology"" + ""dubai"" + ""data"" + ""mobile"" + ""google"" + ""internet"" + ""device"" + ""access"" + ""smart"""
T4,"""jam"" + ""circus"" + ""inquest"" + ""hear"" + ""coroner"" + ""surrey"" + ""soldier"" + ""pembrokeshire"" + ""stephen"" + ""pte"""
T5,"""record"" + ""traffic"" + ""wheel"" + ""mcdonald"" + ""fastest"" + ""verify"" + ""fool"" + ""burton"" + ""infamous"" + ""serbia"""
T6,"""university"" + ""students"" + ""student"" + ""college"" + ""poland"" + ""study"" + ""polish"" + ""universities"" + ""education"" + ""graduate"""
T7,"""space"" + ""earth"" + ""map"" + ""system"" + ""dementia"" + ""human"" + ""team"" + ""explain"" + ""systems"" + ""eye"""
T8,"""shoot"" + ""kill"" + ""suspect"" + ""two"" + ""men"" + ""murder"" + ""gang"" + ""detain"" + ""dead"" + ""one"""
T9,"""wales"" + ""welsh"" + ""cardiff"" + ""england"" + ""government"" + ""uk"" + ""vale"" + ""south"" + ""gwynedd"" + ""ash"""
T10,"""lose"" + ""taiwan"" + ""seat"" + ""gain"" + ""taiwanese"" + ""regional"" + ""dancers"" + ""angel"" + ""fortunes"" + ""one"""
T11,"""council"" + ""local"" + ""county"" + ""councils"" + ""authority"" + ""councillor"" + ""authorities"" + ""service"" + ""residents"" + ""councillors"""
T12,"""music"" + ""album"" + ""band"" + ""singer"" + ""sound"" + ""song"" + ""play"" + ""songs"" + ""record"" + ""track"""
T13,"""french"" + ""france"" + ""paris"" + ""european"" + ""europe"" + ""hollande"" + ""psni"" + ""francois"" + ""attacker"" + ""angela"""
T14,"""bbc"" + ""news"" + ""programme"" + ""radio"" + ""speak"" + ""correspondent"" + ""show"" + ""interview"" + ""channel"" + ""sink"""
T15,"""bowie"" + ""cornwall"" + ""grind"" + ""devon"" + ""david"" + ""stadium"" + ""plymouth"" + ""policeman"" + ""heroes"" + ""fermanagh"""
T16,"""company"" + ""firm"" + ""tech"" + ""products"" + ""market"" + ""brand"" + ""offer"" + ""new"" + ""business"" + ""downtown"""
T17,"""city"" + ""centre"" + ""new"" + ""open"" + ""cities"" + ""street"" + ""streets"" + ""across"" + ""work"" + ""capital"""
T18,"""name"" + ""register"" + ""apple"" + ""donors"" + ""pubs"" + ""exhaust"" + ""joseph"" + ""chip"" + ""autism"" + ""iphone"""
T19,"""attack"" + ""november"" + ""paris"" + ""charlie"" + ""interior"" + ""charles"" + ""bay"" + ""belgian"" + ""belgium"" + ""terrorist"""
T20,"""arrest"" + ""charge"" + ""man"" + ""murder"" + ""suspicion"" + ""appear"" + ""police"" + ""men"" + ""two"" + ""court"""
T21,"""berlin"" + ""martin"" + ""coin"" + ""israeli"" + ""israel"" + ""graham"" + ""boycott"" + ""palestinian"" + ""palestinians"" + ""west"""
T22,"""risk"" + ""alcohol"" + ""safety"" + ""concern"" + ""issue"" + ""number"" + ""report"" + ""warn"" + ""add"" + ""public"""
T23,"""build"" + ""gmt"" + ""damage"" + ""residents"" + ""wall"" + ""collapse"" + ""area"" + ""home"" + ""house"" + ""destroy"""
T24,"""london"" + ""corbyn"" + ""jeremy"" + ""johnson"" + ""defences"" + ""skype"" + ""renewal"" + ""walker"" + ""trident"" + ""eva"""
T25,"""liverpool"" + ""hampshire"" + ""swansea"" + ""reserve"" + ""reservoir"" + ""anderson"" + ""cheshire"" + ""fence"" + ""merseyside"" + ""tidal"""
T26,"""event"" + ""events"" + ""hill"" + ""festival"" + ""part"" + ""daniel"" + ""hold"" + ""raise"" + ""place"" + ""include"""
T27,"""attack"" + ""kill"" + ""bomb"" + ""security"" + ""group"" + ""state"" + ""force"" + ""report"" + ""military"" + ""militants"""
T28,"""joke"" + ""ross"" + ""lady"" + ""magic"" + ""behave"" + ""howard"" + ""harassment"" + ""aggressive"" + ""belt"" + ""funny"""
