,Weight,Topic,Tag
0,0.03564437851309776,T11,Australia
1,0.02075018733739853,T13,Blogs
2,0.017633995041251183,T2,Scotland
3,0.13932308554649353,T0,Asia
4,0.02761177346110344,T14,Business
5,0.05503911152482033,T8,Berkshire
6,0.06132888048887253,T4,Birmingham
7,0.22395706176757812,T0,Kent
8,0.05612353980541229,T14,United Kingdom
9,0.09942908585071564,T3,Science
10,0.038082681596279144,T1,Sussex
11,0.01718311384320259,T11,Birmingham
12,0.08646366000175476,T0,Asia
13,0.24798165261745453,T14,United Kingdom
14,0.06783099472522736,T8,US/Canada
15,0.038466036319732666,T2,US/Canada
16,0.034739281982183456,T1,Europe
17,0.029824573546648026,T14,Entertainment
18,0.08416669070720673,T28,Entertainment
19,0.023862726986408234,T14,US/Canada
20,0.020653095096349716,T4,Manchester
21,0.13701264560222626,T34,Asia
22,0.1291750818490982,T0,Wales
23,0.029762284830212593,T8,Kent
24,0.023884059861302376,T17,Tyne
25,0.07993357628583908,T1,Science
26,0.07554643601179123,T1,Entertainment
27,0.013038122095167637,T2,Wales
28,0.06648198515176773,T3,Middle East
29,0.0162269938737154,T3,Business
30,0.18474899232387543,T20,Glasgow West
31,0.06017165631055832,T13,Europe
32,0.08567964285612106,T9,Wales
33,0.03616337478160858,T1,United Kingdom
34,0.010205279104411602,T0,US/Canada
35,0.060307394713163376,T0,Beds Bucks Herts
36,0.01925523579120636,T0,Europe
37,0.09765858203172684,T0,Europe
38,0.05479297414422035,T14,United Kingdom
39,0.010068983770906925,T4,Europe
40,0.0277755968272686,T26,United Kingdom
41,0.12507137656211853,T0,Business
42,0.04259445518255234,T30,United Kingdom
43,0.129189133644104,T0,Bristol
44,0.0497448705136776,T38,Edinburgh East Fife
45,0.09796975553035736,T2,Business
46,0.016207512468099594,T16,Lancashire
47,0.04764559864997864,T1,Northern Ireland
48,0.010241230018436909,T12,Europe
49,0.01353275403380394,T12,Scotland
50,0.34056058526039124,T52,United Kingdom
51,0.01974630355834961,T10,Hampshire
52,0.08277972787618637,T0,Scotland
53,0.11807514727115631,T0,London
54,0.0560421384871006,T0,Scotland
